Afghanistan,20800000000,38000000,550
Albania,17400000000,2880000,6040
Algeria,178000000000,44600000,3990
American Samoa,871000000,55000,15840
Angola,88300000000,32800000,2690
Anguilla,812640000,15000,54180
Antarctica,0,1000,0
Antigua and Barbuda,1868000000,98000,19060
Argentina,449000000000,45300000,9910
Armenia,13100000000,2950000,4440
Aruba,3545000000,106000,33440
Australia,1400000000000,25500000,54900
Austria,455000000000,8900000,51120
Azerbaijan,40400000000,10100000,4000
Bahamas,12200000000,393000,31040
Bahrain,37700000000,1700000,22180
Bangladesh,347000000000,166300000,2090
Barbados,5310000000,287000,18500
Belarus,63000000000,9440000,6670
Belgium,530000000000,11500000,46090
Belize,1800000000,408000,4410
Benin,10500000000,12100000,870
Bermuda,7546000000,62000,121710
Bhutan,2600000000,740000,3510
Bolivia,40800000000,11500000,3550
Bosnia and Herzegovina,19600000000,3300000,5940
Botswana,18000000000,2400000,7500
Brazil,1830000000000,213000000,8590
British Indian Ocean Territory,0,4000,0
British Virgin Islands,1027000000,31000,33130
Brunei,13100000000,440000,29770
Bulgaria,68000000000,7000000,9710
Burkina Faso,15000000000,20800000,720
Burma,76000000000,54800000,1390
Burundi,3720000000,11900000,310
Cambodia,27400000000,16900000,1620
Cameroon,42700000000,26500000,1610
Canada,1730000000000,38000000,45530
Cape Verde,1800000000,560000,3210
Cayman Islands,6845000000,65000,105310
Central African Republic,2100000000,4820000,440
Chad,11600000000,16740000,690
Chile,326000000000,19100000,17070
China,14500000000000,1444000000,10040
Christmas Island,52100000,2000,26050
Cocos (Keeling) Islands,11012550,600,18350
Colombia,327000000000,51300000,6370
Comoros,1340000000,870000,1540
Congo (Brazzaville),11200000000,5390000,2080
Congo (Kinshasa),47800000000,89500000,530
Cook Islands,122300000,18000,6790
Costa Rica,61700000000,5150000,11980
Cote d'Ivoire,71100000000,26800000,2650
Croatia,62000000000,4080000,15200
Cuba,100000000000,11300000,8850
Cyprus,28400000000,1200000,23670
Czech Republic,248000000000,10700000,23180
Denmark,354000000000,5800000,61030
Djibouti,1900000000,1000000,1900
Dominica,565000000,72000,7850
Dominican Republic,87800000000,10800000,8130
East Timor,3100000000,1290000,2400
Ecuador,107000000000,17600000,6080
Egypt,362000000000,104000000,3480
El Salvador,27300000000,6470000,4220
Equatorial Guinea,13800000000,1400000,9860
Eritrea,3600000000,3600000,1000
Estonia,30500000000,1300000,23460
Ethiopia,96000000000,118000000,810
Falkland Islands,206400000,3000,68800
Faroe Islands,2800000000,54000,51850
