Countries,Average GDP per Capita,Connections
France + United Kingdom,42725,59
France + Italy,36890,56
Italy + United Kingdom,39165,54
France + Germany,43420,53
Germany + United Kingdom,45695,52
United Arab Emirates + United Kingdom,43785,51
France + United Arab Emirates,41510,49
Canada + United States,55135,46
Germany + Italy,39860,45
Italy + United Arab Emirates,37950,44
France + United States,52595,43
France + Morocco,21835,42
Germany + United Arab Emirates,44480,41
United Kingdom + United States,54870,40
China + United Arab Emirates,26305,40
Germany + United States,55565,37
China + France,25245,36
China + United Kingdom,27520,36
Italy + United States,49035,35
Finland + France,45180,35
Canada + France,42990,35
India + United Arab Emirates,22345,35
Finland + United Kingdom,47455,34
Canada + United Kingdom,45265,33
Greece + Italy,26850,32
Canada + Germany,45960,32
Finland + Italy,41620,31
France + Spain,35225,31
France + Greece,30410,31
Finland + Germany,48150,31
United Arab Emirates + United States,53655,31
Italy + Spain,31665,30
China + Italy,21685,30
France + Norway,57470,30
Greece + United Kingdom,32685,30
Germany + Spain,38195,30
Germany + Sweden,49435,30
China + India,6080,30
Germany + Greece,33380,30
France + Sweden,46465,29
France + Netherlands,46805,29
Denmark + France,50740,29
Norway + United Kingdom,59745,29
India + United Kingdom,23560,29
Denmark + United Kingdom,53015,29
Panama + United States,40115,29
China + Germany,28215,29
Denmark + Germany,53710,29
Canada + Italy,39430,28
Denmark + Italy,47180,28
Sweden + United Kingdom,48740,28
Morocco + United Kingdom,24110,28
Ireland + United Kingdom,61230,28
Finland + Norway,62200,28
Germany + Norway,60440,28
Italy + Switzerland,57655,27
Italy + Norway,53910,27
Italy + Morocco,18275,27
Germany + Switzerland,64185,27
Austria + France,45785,27
France + Latvia,29435,27
Spain + United Kingdom,37500,27
Netherlands + United Kingdom,49080,27
Spain + United States,47370,27
Finland + United Arab Emirates,46240,27
Netherlands + United Arab Emirates,47865,27
Morocco + United Arab Emirates,22895,27
China + Hong Kong,29155,27
Germany + Ireland,61925,27
France + Russia,26020,26
Italy + Sweden,42905,26
Italy + Latvia,25875,26
France + Switzerland,61215,26
France + India,21285,26
France + Ireland,58955,26
Latvia + United Kingdom,31710,26
Finland + Sweden,51195,26
Norway + Sweden,63485,26
Denmark + Sweden,56755,26
Denmark + Finland,55470,26
Hong Kong + United Arab Emirates,45420,26
Germany + Netherlands,49775,26
Italy + Russia,22460,25
Ireland + Italy,55395,25
Switzerland + United Kingdom,63490,25
Belgium + France,43270,25
Algeria + France,22220,25
Austria + United Kingdom,48060,25
Denmark + Norway,67760,25
Canada + United Arab Emirates,44050,25
Austria + Italy,42225,24
Belarus + Italy,20000,24
Belarus + France,23560,24
Turkey + United Kingdom,27025,24
Greece + Norway,47430,24
China + United States,37390,24
Canada + China,27785,24
China + Thailand,8960,24
China + Malaysia,10585,24
Austria + Germany,48755,24
Germany + Latvia,32405,24
Denmark + Ireland,69245,24
Russia + United Kingdom,28295,23
Italy + Netherlands,43245,23
Italy + Turkey,21190,23
India + Italy,17725,23
France + Turkey,24750,23
Belarus + United Kingdom,25835,23
Spain + United Arab Emirates,36285,23
Canada + Spain,37765,23
Finland + United States,57325,23
China + Finland,29975,23
Finland + Greece,35140,23
Finland + Ireland,63685,23
Finland + Latvia,34165,23
Norway + United Arab Emirates,58530,23
Latvia + Norway,46455,23
Netherlands + United States,58950,23
Mexico + United States,36985,23
China + Taiwan,18850,23
Germany + Morocco,24805,23
Germany + India,24255,23
Algeria + Morocco,3605,23
Greece + Latvia,19395,23
Germany + Russia,28990,22
Colombia + United States,35555,22
Spain + Switzerland,55990,22
Switzerland + United Arab Emirates,62275,22
Denmark + Spain,45515,22
Greece + Sweden,36425,22
Ireland + Norway,75975,22
Thailand + United Arab Emirates,25225,22
Austria + United Arab Emirates,46845,22
Hong Kong + India,25195,22
Germany + Turkey,27720,22
Greece + Ireland,48915,22
Denmark + Greece,40700,22
Morocco + Senegal,2335,21
Colombia + Panama,10930,21
Algeria + Italy,18660,21
Sweden + Switzerland,67230,21
Austria + Switzerland,66550,21
France + Hong Kong,44360,21
Hong Kong + United Kingdom,46635,21
Spain + Sweden,41240,21
Sweden + United Arab Emirates,47525,21
Ireland + Sweden,64970,21
Morocco + United States,33980,21
Denmark + United States,62885,21
Malaysia + United Arab Emirates,26850,21
Algeria + United Arab Emirates,23280,21
Greece + United Arab Emirates,31470,21
Denmark + United Arab Emirates,51800,21
Belarus + Latvia,12545,21
Cyprus + Italy,28500,20
Netherlands + Switzerland,67570,20
Greece + Switzerland,51175,20
Cyprus + France,32060,20
France + Portugal,31745,20
Cyprus + United Kingdom,34335,20
Belgium + United Kingdom,45545,20
Algeria + United Kingdom,24495,20
Portugal + United Kingdom,34020,20
Finland + Spain,39955,20
Austria + Spain,40560,20
Austria + Sweden,51800,20
Latvia + Sweden,35450,20
Turkey + United Arab Emirates,25810,20
Latvia + United Arab Emirates,30495,20
Malaysia + Thailand,9505,20
India + Thailand,5000,20
China + Singapore,47005,20
Malaysia + Singapore,47550,20
China + Japan,25130,20
China + South Korea,21365,20
Belarus + China,8355,20
Hong Kong + Malaysia,29700,20
Malaysia + Taiwan,19395,20
India + Malaysia,6625,20
Belarus + Germany,26530,20
Austria + Netherlands,52140,20
Belarus + Greece,13520,20
Denmark + Latvia,39725,20
China + Russia,10815,19
Peru + United States,35810,19
Panama + Peru,11185,19
Italy + Portugal,28185,19
Finland + Switzerland,65945,19
Norway + Switzerland,78235,19
Switzerland + United States,73360,19
Denmark + Switzerland,71505,19
France + Thailand,24165,19
Thailand + United Kingdom,26440,19
Morocco + Spain,16610,19
Greece + Spain,25185,19
Ireland + Spain,53730,19
Sweden + United States,58610,19
Canada + Finland,47720,19
Austria + Finland,50515,19
Belarus + Norway,40580,19
Hong Kong + United States,56505,19
Austria + United States,57930,19
Dominican Republic + United States,36435,19
India + United States,33430,19
Taiwan + United Arab Emirates,35115,19
Ireland + United Arab Emirates,60015,19
Canada + Panama,30510,19
China + Netherlands,31600,19
